--------- beginning of system
08-27 07:00:13.637 W/Looper  (  506): Slow dispatch took 119ms android.fg h=android.os.Handler c=com.android.server.am.SameProcessApplicationThread$$ExternalSyntheticLambda1@dcd1df8 m=0
08-27 07:00:13.637 I/ActivityManager(  506): Posting BOOT_COMPLETED user #0
08-27 07:00:44.474 V/WindowManagerShell(  800): Track 0 became idle
08-27 07:00:44.475 V/WindowManagerShell(  800): All active transition animations finished
08-27 07:00:44.483 D/CompatibilityChangeReporter( 2517): Compat change id reported: 160794467; UID 10141; state: ENABLED
08-27 07:00:44.486 I/ActivityManager(  506): Flag disabled. Ignoring finishAttachApplication from uid: 10141. pid: 2517
08-27 07:00:44.545 D/CompatibilityChangeReporter( 2517): Compat change id reported: 237531167; UID 10141; state: DISABLED
08-27 07:00:44.549 W/OpenGLRenderer( 2517): Unknown dataspace 0
08-27 07:00:44.564 D/CompatibilityChangeReporter( 2517): Compat change id reported: 193247900; UID 10141; state: ENABLED
08-27 07:00:44.568 D/ActivityManager(  506): freezing 1229 com.android.cellbroadcastreceiver.module
08-27 07:00:44.573 I/resolv  (  324): GetAddrInfoHandler::run: {100 100 100 983140 10141 0}
08-27 07:00:44.581 I/resolv  (  324): res_nmkquery: (QUERY, IN, A)
08-27 07:00:44.581 I/resolv  (  324): resolv_cache_lookup: FOUND IN CACHE entry=0x71ac35be3f30
08-27 07:00:44.582 I/resolv  (  324): doQuery: rcode=0, ancount=1, return value=48
08-27 07:00:44.594 D/libEGL  ( 2517): loaded /vendor/lib64/egl/libEGL_emulation.so
08-27 07:00:44.599 D/libEGL  ( 2517): loaded /vendor/lib64/egl/libGLESv1_CM_emulation.so
08-27 07:00:44.608 D/libEGL  ( 2517): loaded /vendor/lib64/egl/libGLESv2_emulation.so
08-27 07:00:44.621 D/CoreBackPreview(  506): Window{97361ca u0 com.forli.meteo/com.forli.meteo.MainActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@2d6b658, mPriority=0, mIsAnimationCallback=false}
08-27 07:00:44.628 I/resolv  (  324): res_nmkquery: (QUERY, IN, AAAA)
08-27 07:00:44.629 I/resolv  (  324): resolv_cache_lookup: FOUND IN CACHE entry=0x71ad15bea0b0
08-27 07:00:44.629 I/resolv  (  324): doQuery: rcode=0, ancount=0, return value=97
08-27 07:00:44.633 D/TrafficStats( 2517): tagSocket(73) with statsTag=0xffffffff, statsUid=-1
08-27 07:00:44.644 D/AF::TrackHandle(  385): OpPlayAudio: track:56 usage:13 not muted
08-27 07:00:44.689 W/OpenGLRenderer( 2517): Failed to initialize 101010-2 format, error = EGL_SUCCESS
08-27 07:00:44.708 I/hwservicemanager(  133): getTransport: Cannot find entry android.hardware.graphics.mapper@4.0::IMapper/default in either framework or device VINTF manifest.
08-27 07:00:44.709 I/Gralloc4( 2517): mapper 4.x is not supported
08-27 07:00:44.901 I/servicemanager(    0): Could not find android.hardware.graphics.allocator.IAllocator/default in the VINTF manifest.
08-27 07:00:44.901 D/ActivityManager(  506): freezing 2009 com.android.calendar
08-27 07:00:44.946 D/ActivityManager(  506): freezing 1854 com.android.imsserviceentitlement
08-27 07:00:44.954 D/ActivityManager(  506): freezing 2032 com.android.camera2
08-27 07:00:45.284 D/ActivityManager(  506): freezing 2050 com.android.contacts
08-27 07:00:45.586 I/Choreographer( 2517): Skipped 61 frames!  The application may be doing too much work on its main thread.
08-27 07:00:45.594 I/ActivityTaskManager(  506): Displayed com.forli.meteo/.MainActivity for user 0: +1s242ms
08-27 07:00:45.597 I/OpenGLRenderer( 2517): Davey! duration=1095ms; Flags=1, FrameTimelineVsyncId=6633, IntendedVsync=63300467252, Vsync=63350467250, InputEventId=0, HandleInputStart=63366146984, AnimationStart=63366147265, PerformTraversalsStart=63366163335, DrawStart=63545361619, FrameDeadline=63317133918, FrameInterval=63366139290, FrameStartTime=16666666, SyncQueued=63549304396, SyncStart=63549464205, IssueDrawCommandsStart=63550041242, SwapBuffers=64296577525, FrameCompleted=64395747338, DequeueBufferDuration=2535, QueueBufferDuration=278540, GpuCompleted=64395680042, SwapBuffersCompleted=64395747338, DisplayPresentTime=0, CommandSubmissionCompleted=64296577525, 
08-27 07:00:45.597 I/ImeTracker( 1057): com.android.launcher3:d1747e74: onRequestHide at ORIGIN_CLIENT_HIDE_SOFT_INPUT reason HIDE_SOFT_INPUT
08-27 07:00:45.598 D/OomAdjuster(  506): Not killing cached processes
08-27 07:00:45.599 I/ImeTracker(  506): com.android.launcher3:d1747e74: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-27 07:00:45.601 I/resolv  (  324): GetAddrInfoHandler::run: {100 100 100 983140 10141 0}
08-27 07:00:45.602 I/resolv  (  324): res_nmkquery: (QUERY, IN, AAAA)
08-27 07:00:45.602 I/resolv  (  324): resolv_cache_lookup: FOUND IN CACHE entry=0x71ad75bf0cf0
08-27 07:00:45.602 I/resolv  (  324): doQuery: rcode=0, ancount=0, return value=86
08-27 07:00:45.607 I/resolv  (  324): res_nmkquery: (QUERY, IN, A)
08-27 07:00:45.607 I/resolv  (  324): resolv_cache_lookup: FOUND IN CACHE entry=0x71ab95bea610
08-27 07:00:45.607 I/resolv  (  324): doQuery: rcode=0, ancount=1, return value=52
08-27 07:00:45.682 D/ActivityManager(  506): freezing 1720 com.android.providers.calendar
08-27 07:00:45.688 W/WindowOnBackDispatcher(  800): sendCancelIfRunning: isInProgress=falsecallback=android.view.ViewRootImpl$$ExternalSyntheticLambda17@ddfc72e
08-27 07:00:45.689 D/CoreBackPreview(  506): Window{dfdc10d u0 Splash Screen com.forli.meteo EXITING}: Setting back callback null
08-27 07:00:45.690 W/InputManager-JNI(  506): Input channel object 'dfdc10d Splash Screen com.forli.meteo (client)' was disposed without first being removed with the input manager!
08-27 07:00:45.691 D/TrafficStats( 2517): tagSocket(96) with statsTag=0xffffffff, statsUid=-1
08-27 07:00:45.775 D/ActivityManager(  506): freezing 2109 com.android.messaging
08-27 07:00:45.789 D/CompatibilityChangeReporter(  506): Compat change id reported: 214016041; UID 10141; state: ENABLED
08-27 07:00:45.789 I/ImeTracker(  506): com.forli.meteo:74c2486d: onRequestHide at ORIGIN_SERVER_HIDE_INPUT reason HIDE_UNSPECIFIED_WINDOW
08-27 07:00:45.789 I/ImeTracker(  506): com.forli.meteo:74c2486d: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-27 07:00:45.905 D/EGL_emulation(  800): app_time_stats: avg=2526.45ms min=2526.45ms max=2526.45ms count=1
08-27 07:00:45.972 D/EGL_emulation(  800): app_time_stats: avg=1183.22ms min=45.84ms max=2320.59ms count=2
08-27 07:00:45.972 D/StatusBarIconController(  800): ignoring old pipeline callback because the new wifi icon is enabled
08-27 07:00:45.991 D/ConnectivityService(  506): handleLingerComplete for [100 WIFI]
08-27 07:00:46.270 D/ActivityManager(  506): freezing 2206 com.android.rkpdapp
08-27 07:00:46.379 D/ActivityManager(  506): freezing 2099 com.android.dynsystem:dynsystem
08-27 07:00:46.380 D/ActivityManager(  506): freezing 2073 com.android.dynsystem
08-27 07:00:46.380 D/ActivityManager(  506): freezing 1848 com.android.localtransport
08-27 07:00:46.380 D/ActivityManager(  506): freezing 1630 com.android.keychain
08-27 07:00:46.677 D/ActivityManager(  506): freezing 2263 com.android.statementservice
08-27 07:00:46.721 D/EGL_emulation( 2517): app_time_stats: avg=68.13ms min=44.43ms max=113.39ms count=16
08-27 07:00:47.004 D/ConnectivityService(  506): handleLingerComplete for [101 CELLULAR]
08-27 07:00:47.004 I/ConnectivityService(  506): Update capabilities for net 101 : -FOREGROUND
08-27 07:00:47.005 I/Netd    (  324): Destroyed 1 sockets for netId 101 permission=1 in 671us
08-27 07:00:47.008 I/netd    (  324): networkSetPermissionForNetwork(101, 1) <3.44ms>
08-27 07:00:47.404 D/StatusBarIconController(  800): ignoring old pipeline callbacks, because the new mobile icons are enabled
08-27 07:00:47.485 E/TaskPersister(  506): File error accessing recents directory (directory doesn't exist?).
08-27 07:00:48.033 D/WifiNl80211Manager(  506): Scan result ready event
08-27 07:00:48.033 D/WifiNative(  506): Scan result ready event
08-27 07:00:49.814 D/ProfileInstaller( 2517): Skipping profile installation for com.forli.meteo
08-27 07:00:51.018 D/ActivityManager(  506): freezing 816 com.android.permissioncontroller
08-27 07:00:51.212 D/ActivityManager(  506): freezing 1009 com.android.settings
08-27 07:00:51.605 W/healthd (    0): battery l=100 v=5000 t=25.0 h=2 st=2 c=900000 fc=3000000 cc=10 chg=a
08-27 07:00:51.556 D/EGL_emulation( 2517): app_time_stats: avg=965.20ms min=62.36ms max=4029.71ms count=5
08-27 07:00:51.563 E/WifiHealthMonitor(  506):  Hit PackageManager exception
08-27 07:00:51.563 E/WifiHealthMonitor(  506): android.content.pm.PackageManager$NameNotFoundException: No module info for package: com.android.wifi
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.app.ApplicationPackageManager.getModuleInfo(ApplicationPackageManager.java:1190)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.WifiHealthMonitor.getWifiStackVersion(WifiHealthMonitor.java:367)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.WifiHealthMonitor.extractCurrentSoftwareBuildInfo(WifiHealthMonitor.java:588)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.WifiHealthMonitor.postBootSwBuildCheck(WifiHealthMonitor.java:523)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.WifiHealthMonitor.postBootDetectionHandler(WifiHealthMonitor.java:514)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.WifiHealthMonitor.-$$Nest$mpostBootDetectionHandler(WifiHealthMonitor.java:0)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.WifiHealthMonitor$2.onAlarm(WifiHealthMonitor.java:190)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.app.AlarmManager$ListenerWrapper.run(AlarmManager.java:375)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.os.Handler.handleCallback(Handler.java:958)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.os.Handler.dispatchMessage(Handler.java:99)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at com.android.server.wifi.RunnerHandler.dispatchMessage(RunnerHandler.java:122)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.os.Looper.loopOnce(Looper.java:205)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.os.Looper.loop(Looper.java:294)
08-27 07:00:51.563 E/WifiHealthMonitor(  506): 	at android.os.HandlerThread.run(HandlerThread.java:67)
08-27 07:00:51.875 D/StatusBarIconController(  800): ignoring old pipeline callback because the new wifi icon is enabled
08-27 07:00:52.620 D/EGL_emulation( 2517): app_time_stats: avg=62.35ms min=42.39ms max=153.09ms count=16
08-27 07:00:53.293 D/ActivityManager(  506): freezing 1751 android.process.media
08-27 07:00:54.370 D/ActivityManager(  506): freezing 1380 android.process.acore
08-27 07:00:54.877 D/StatusBarIconController(  800): ignoring old pipeline callback because the new wifi icon is enabled
08-27 07:00:54.989 D/EGL_emulation( 2517): app_time_stats: avg=211.27ms min=48.72ms max=1666.19ms count=11
08-27 07:00:56.005 D/EGL_emulation( 2517): app_time_stats: avg=64.51ms min=43.26ms max=146.34ms count=15
08-27 07:00:56.176 I/wpa_supplicant(  787): wlan0: CTRL-EVENT-BEACON-LOSS 
08-27 07:00:57.385 D/StatusBarIconController(  800): ignoring old pipeline callbacks, because the new mobile icons are enabled
08-27 07:00:57.387 D/EGL_emulation(  800): app_time_stats: avg=5652.63ms min=59.73ms max=11245.53ms count=2
08-27 07:00:58.438 W/BpBinder( 2562): Linking to death on android.gui.ISurfaceComposer but there are no threads (yet?) listening to incoming transactions. See ProcessState::startThreadPool and ProcessState::setThreadPoolMaxThreadCount. Generally you should setup the binder threadpool before other initialization steps.
08-27 07:00:58.438 W/ProcessState( 2562): Extra binder thread started, but 0 threads requested. Do not use *startThreadPool when zero threads are requested.
08-27 07:00:58.642 I/servicemanager(    0): Could not find android.hardware.graphics.allocator.IAllocator/default in the VINTF manifest.
08-27 07:00:58.449 I/hwservicemanager(  133): getTransport: Cannot find entry android.hardware.graphics.mapper@4.0::IMapper/default in either framework or device VINTF manifest.
08-27 07:00:58.449 I/Gralloc4( 2562): mapper 4.x is not supported
08-27 07:00:58.653 I/ActivityManager(  506): Broadcasting: Intent { act=android.intent.action.MEDIA_SCANNER_SCAN_FILE dat=file:///... flg=0x400000 }
08-27 07:00:58.655 D/OomAdjuster(  506): Not killing cached processes
08-27 07:00:58.655 I/ActivityManager(  506): Enqueued broadcast Intent { act=android.intent.action.MEDIA_SCANNER_SCAN_FILE dat=file:///... flg=0x400000 }: 0
08-27 07:00:58.659 I/ActivityManager(  506): Broadcast completed: result=0
08-27 07:00:58.660 I/MediaProvider( 1472): Begin Intent { act=android.intent.action.MEDIA_SCANNER_SCAN_FILE dat=file:///... flg=0x1400010 cmp=com.android.providers.media.module/com.android.providers.media.MediaService }
08-27 07:00:58.669 W/ModernMediaScanner( 1472): Failed to visit /data/local/tmp/shot.png: java.nio.file.AccessDeniedException: /data/local/tmp/shot.png
08-27 07:00:58.857 W/audit   (    0): audit_lost=19 audit_rate_limit=5 audit_backlog_limit=64
08-27 07:00:58.863 E/audit   (    0): rate limit exceeded
08-27 07:00:58.670 I/MediaProvider( 1472): Scanned internal due to REASON_DEMAND, found 0 items in 8ms, 0 inserts 0 updates 0 deletes
08-27 07:00:58.671 I/MediaProvider( 1472): End Intent { act=android.intent.action.MEDIA_SCANNER_SCAN_FILE dat=file:///... flg=0x1400010 cmp=com.android.providers.media.module/com.android.providers.media.MediaService }
08-27 07:00:58.657 W/com.android.providers.media.module( 1472): type=1400 audit(0.0:55): avc:  denied  { search } for  comm=4173796E635461736B202331 name="tmp" dev="dm-38" ino=65538 scontext=u:r:mediaprovider_app:s0:c130,c256,c512,c768 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0 app=com.android.providers.media.module
08-27 07:00:58.661 W/com.android.providers.media.module( 1472): type=1400 audit(0.0:56): avc:  denied  { getattr } for  comm=4173796E635461736B202331 path="/data/local/tmp" dev="dm-38" ino=65538 scontext=u:r:mediaprovider_app:s0:c130,c256,c512,c768 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0 app=com.android.providers.media.module
08-27 07:00:58.661 W/com.android.providers.media.module( 1472): type=1400 audit(0.0:57): avc:  denied  { search } for  comm=4173796E635461736B202331 name="tmp" dev="dm-38" ino=65538 scontext=u:r:mediaprovider_app:s0:c130,c256,c512,c768 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0 app=com.android.providers.media.module
08-27 07:00:58.661 W/com.android.providers.media.module( 1472): type=1400 audit(0.0:58): avc:  denied  { getattr } for  comm=4173796E635461736B202331 path="/data/local/tmp" dev="dm-38" ino=65538 scontext=u:r:mediaprovider_app:s0:c130,c256,c512,c768 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0 app=com.android.providers.media.module
08-27 07:00:58.661 W/com.android.providers.media.module( 1472): type=1400 audit(0.0:59): avc:  denied  { search } for  comm=4173796E635461736B202331 name="tmp" dev="dm-38" ino=65538 scontext=u:r:mediaprovider_app:s0:c130,c256,c512,c768 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0 app=com.android.providers.media.module
08-27 07:00:58.730 I/ActivityManager(  506): Force stopping com.forli.meteo appid=10141 user=0: from pid 2574
08-27 07:00:58.731 I/ActivityManager(  506): Killing 2517:com.forli.meteo/u0a141 (adj 0): stop com.forli.meteo due to from pid 2574
08-27 07:00:58.733 D/DisplayManagerService(  506): Drop pending events for gone uid 10141
08-27 07:00:58.734 W/ActivityTaskManager(  506): Force removing ActivityRecord{bfddbf8 u0 com.forli.meteo/.MainActivity t9 f}}: app died, no saved state
08-27 07:00:58.735 V/WindowManagerShell(  800): Transition requested: android.os.BinderProxy@6b33642 TransitionRequestInfo { type = CLOSE, triggerTask = TaskInfo{userId=0 taskId=9 displayId=0 isRunning=false baseIntent=Intent { flg=0x10000000 cmp=com.forli.meteo/.MainActivity } baseActivity=null topActivity=null origActivity=null realActivity=ComponentInfo{com.forli.meteo/com.forli.meteo.MainActivity} numActivities=0 lastActiveTime=63243 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{android.window.IWindowContainerToken$Stub$Proxy@de26653} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=null topActivityInfo=null launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isSleeping=false topActivityInSizeCompat=false topActivityEligibleForLetterboxEducation= false topActivityLetterboxed= false isFromDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 locusId=null displayAreaFeatureId=1 cameraCompatControlState=hidden}, remoteTransition = null, displayChange = null }
08-27 07:00:58.741 I/WindowManager(  506): WIN DEATH: Window{97361ca u0 com.forli.meteo/com.forli.meteo.MainActivity}
08-27 07:00:58.742 W/InputManager-JNI(  506): Input channel object '97361ca com.forli.meteo/com.forli.meteo.MainActivity (client)' was disposed without first being removed with the input manager!
08-27 07:00:58.743 I/Zygote  (  325): Process 2517 exited due to signal 9 (Killed)
08-27 07:00:58.744 I/ImeTracker(  506): com.forli.meteo:20eca107: onRequestHide at ORIGIN_SERVER_HIDE_INPUT reason HIDE_REMOVE_CLIENT
08-27 07:00:58.745 D/audioserver(  385): FGS Logger Transaction failed
08-27 07:00:58.745 D/audioserver(  385): -129
08-27 07:00:58.746 I/ImeTracker(  506): com.forli.meteo:20eca107: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-27 07:00:58.748 V/ActivityManager(  506): Got obituary of 2517:com.forli.meteo
08-27 07:00:58.751 D/CarrierSvcBindHelper( 1008): onHandleForceStop: [com.forli.meteo]
08-27 07:00:58.752 I/BpBinder(  388): onLastStrongRef automatically unlinking death recipients: 
08-27 07:00:58.754 W/WindowManager(  506): Failed to deliver inset control state change to w=Window{97361ca u0 com.forli.meteo/com.forli.meteo.MainActivity EXITING}
08-27 07:00:58.754 W/WindowManager(  506): android.os.DeadObjectException
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.BinderProxy.transactNative(Native Method)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.BinderProxy.transact(BinderProxy.java:584)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.view.IWindow$Stub$Proxy.insetsControlChanged(IWindow.java:479)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.WindowState.notifyInsetsControlChanged(WindowState.java:3802)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.InsetsStateController.lambda$notifyPendingInsetsControlChanged$3(InsetsStateController.java:343)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.InsetsStateController.$r8$lambda$8yykPRG1GyNq_J17QvL9d5xANMc(InsetsStateController.java:0)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.InsetsStateController$$ExternalSyntheticLambda2.run(R8$$SyntheticClass:0)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.WindowAnimator.executeAfterPrepareSurfacesRunnables(WindowAnimator.java:294)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.WindowAnimator.animate(WindowAnimator.java:202)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.WindowAnimator.lambda$new$1(WindowAnimator.java:99)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.WindowAnimator.$r8$lambda$aHNu1uhcqxihX5NZc4McDDQPAyw(WindowAnimator.java:0)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.wm.WindowAnimator$$ExternalSyntheticLambda1.doFrame(R8$$SyntheticClass:0)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1337)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1348)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.view.Choreographer.doCallbacks(Choreographer.java:952)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.view.Choreographer.doFrame(Choreographer.java:878)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:1322)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.Handler.handleCallback(Handler.java:958)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.Handler.dispatchMessage(Handler.java:99)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.Looper.loopOnce(Looper.java:205)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.Looper.loop(Looper.java:294)
08-27 07:00:58.754 W/WindowManager(  506): 	at android.os.HandlerThread.run(HandlerThread.java:67)
08-27 07:00:58.754 W/WindowManager(  506): 	at com.android.server.ServiceThread.run(ServiceThread.java:46)
08-27 07:00:58.762 D/CarrierSvcBindHelper( 1008): No carrier app for: 0
08-27 07:00:58.762 W/ForegroundServiceTypeLoggerModule(  506): API event end called before start!
08-27 07:00:58.766 V/WindowManager(  506): Unknown focus tokens, dropping reportFocusChanged
08-27 07:00:58.834 V/WindowManager(  506): Sent Transition #11 createdAt=08-27 07:00:58.734 via request=TransitionRequestInfo { type = CLOSE, triggerTask = TaskInfo{userId=0 taskId=9 displayId=0 isRunning=false baseIntent=Intent { flg=0x10000000 cmp=com.forli.meteo/.MainActivity } baseActivity=null topActivity=null origActivity=null realActivity=ComponentInfo{com.forli.meteo/com.forli.meteo.MainActivity} numActivities=0 lastActiveTime=63243 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{RemoteToken{8b74d2f Task{dec68d1 #9 type=standard A=10141:com.forli.meteo}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=null topActivityInfo=null launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isSleeping=false topActivityInSizeCompat=false topActivityEligibleForLetterboxEducation= false topActivityLetterboxed= false isFromDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 locusId=null displayAreaFeatureId=1 cameraCompatControlState=hidden}, remoteTransition = null, displayChange = null }
08-27 07:00:58.834 V/WindowManager(  506):     startWCT=WindowContainerTransaction { changes = {} hops = [] errorCallbackToken=null taskFragmentOrganizer=null }
08-27 07:00:58.838 V/WindowManager(  506):     info={id=11 t=CLOSE f=0x0 trk=0 r=[0@Point(0, 0)] c=[{WCT{RemoteToken{8b74d2f Task{dec68d1 #9 type=standard A=10141:com.forli.meteo}}} m=CLOSE f=NONE leash=Surface(name=Task=9)/@0x3526109 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0},{WCT{RemoteToken{ca17a5d Task{dc23071 #1 type=home}}} m=TO_FRONT f=SHOW_WALLPAPER leash=Surface(name=Task=1)/@0xcb86d75 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0},{null m=TO_FRONT f=IS_WALLPAPER leash=Surface(name=WallpaperWindowToken{f829b6b token=android.os.Binder@9fd30ba})/@0x9756b6c sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0}]}
08-27 07:00:58.839 V/WindowManagerShell(  800): onTransitionReady android.os.BinderProxy@6b33642: {id=11 t=CLOSE f=0x0 trk=0 r=[0@Point(0, 0)] c=[{WCT{android.window.IWindowContainerToken$Stub$Proxy@49750bc} m=CLOSE f=NONE leash=Surface(name=Task=9)/@0xbc50b90 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0},{WCT{android.window.IWindowContainerToken$Stub$Proxy@c6ed845} m=TO_FRONT f=SHOW_WALLPAPER leash=Surface(name=Task=1)/@0xdcbfc89 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0},{null m=TO_FRONT f=IS_WALLPAPER leash=Surface(name=WallpaperWindowToken{f829b6b token=android.os.Binder@9fd30ba})/@0x1c2748e sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0}]}
08-27 07:00:58.840 V/WindowManagerShell(  800): Playing animation for (#11)android.os.BinderProxy@6b33642@0
08-27 07:00:58.840 V/WindowManagerShell(  800):  try handler com.android.wm.shell.transition.DefaultMixedHandler@66ba047
08-27 07:00:58.840 V/WindowManagerShell(  800):  try handler com.android.wm.shell.keyguard.KeyguardTransitionHandler@4931074
08-27 07:00:58.840 V/WindowManagerShell(  800):  try handler com.android.wm.shell.activityembedding.ActivityEmbeddingController@f59899d
08-27 07:00:58.841 V/WindowManagerShell(  800):  try handler com.android.wm.shell.recents.RecentsTransitionHandler@d7b9e12
08-27 07:00:58.841 V/ShellRecents(  800): RecentsTransitionHandler.startAnimation: no controller found
08-27 07:00:58.841 V/WindowManagerShell(  800):  try handler com.android.wm.shell.pip.PipTransition@bb7f9e3
08-27 07:00:58.841 V/WindowManagerShell(  800):  try handler com.android.wm.shell.splitscreen.StageCoordinator@40abfe0
08-27 07:00:58.847 V/WindowManagerShell(  800):  try handler com.android.wm.shell.transition.RemoteTransitionHandler@64a2299
08-27 07:00:58.847 V/WindowManagerShell(  800): Transition doesn't have explicit remote, search filters for match for {id=11 t=CLOSE f=0x0 trk=0 r=[0@Point(0, 0)] c=[{WCT{android.window.IWindowContainerToken$Stub$Proxy@49750bc} m=CLOSE f=NONE leash=Surface(name=Task=9)/@0xbc50b90 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0},{WCT{android.window.IWindowContainerToken$Stub$Proxy@c6ed845} m=TO_FRONT f=SHOW_WALLPAPER leash=Surface(name=Task=1)/@0xdcbfc89 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0},{null m=TO_FRONT f=IS_WALLPAPER leash=Surface(name=WallpaperWindowToken{f829b6b token=android.os.Binder@9fd30ba})/@0x1c2748e sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) d=0}]}
08-27 07:00:58.847 V/WindowManagerShell(  800):  Checking filter Pair{{types=[] flags=0x0] notFlags=0x100 checks=[{atype=home independent=true modes=[OPEN,TO_FRONT] flags=NONE mustBeTask=false order=TOP topActivity=ComponentInfo{com.android.launcher3/com.android.launcher3.uioverrides.QuickstepLauncher}},{atype=standard independent=true modes=[CLOSE,TO_BACK] flags=NONE mustBeTask=false order=ANY topActivity=null}]} RemoteTransition { remoteTransition = android.window.IRemoteTransition$Stub$Proxy@19f9ff, appThread = android.app.IApplicationThread$Stub$Proxy@f7553cc, debugName = QuickstepLaunchHome }}
08-27 07:00:58.850 V/WindowManagerShell(  800):  Delegate animation for #11 to null
08-27 07:00:58.850 V/WindowManagerShell(  800):  try handler com.android.wm.shell.transition.DefaultTransitionHandler@f8bfa0c
